x, y, X, Y, Alpha, dPhi
38.729833, 10.000000, 29.048467, 7.495775, 0.001137, 0
37.765470, 13.342249, 28.338060, 10.006990, 1.815704, 5
36.620163, 16.611389, 27.515106, 12.476424, 3.606815, 10
35.294714, 19.809952, 26.576525, 14.911668, 5.351676, 15
33.786344, 22.939001, 25.515467, 17.318273, 7.028722, 20
32.089189, 25.997214, 24.321887, 19.698880, 8.618111, 25
30.194981, 28.980085, 22.983283, 22.052502, 10.102064, 30
28.093893, 31.879301, 21.485570, 24.373964, 11.465068, 35
25.775505, 34.682289, 19.814050, 26.653524, 12.693935, 40
23.229859, 37.371994, 17.954450, 28.876697, 13.778372, 45
20.448551, 39.926872, 15.893994, 31.024287, 14.708207, 50
17.425819, 42.321115, 13.622453, 33.072633, 15.477254, 55
14.159578, 44.525108, 11.133158, 34.994065, 16.080919, 60
10.652368, 46.506090, 8.423911, 36.757553, 16.513894, 65
6.912151, 48.229020, 5.497773, 38.329548, 16.774914, 70
2.952952, 49.657595, 2.363693, 39.674971, 16.861209, 75
-1.204718, 50.755404, -0.963065, 40.758324, 16.773171, 80
-5.533654, 51.487164, -4.460743, 41.544888, 16.511285, 85
-9.999999, 51.820003, -8.101051, 42.001959, 16.077026, 90
-14.563525, 51.724733, -11.849390, 42.100105, 15.472958, 95
-19.178164, 51.177075, -15.665440, 41.814342, 14.702889, 100
-23.792766, 50.158784, -19.503736, 41.125279, 13.772069, 105
-28.352071, 48.658635, -23.314745, 40.020038, 12.687419, 110
-32.797859, 46.673225, -27.045888, 38.493077, 11.457765, 115
-37.070254, 44.207567, -30.642845, 36.546731, 10.094042, 120
-41.109121, 41.275444, -34.050744, 34.191709, 8.609451, 125
-44.855533, 37.899508, -37.215816, 31.447011, 7.019517, 130
-48.253247, 34.111115, -40.086666, 28.339898, 5.342032, 135
-51.250138, 29.949902, -42.615699, 24.905454, 3.596850, 140
-53.799552, 25.463109, -44.760428, 21.185934, 1.805542, 145
-55.861527, 20.704665, -46.484646, 17.229883, 0.000000, 150
-57.453487, 15.757225, -47.809498, 13.112707, 0.000000, 155
-58.608192, 10.689863, -48.770445, 8.895780, 0.000000, 160
-59.316853, 5.541144, -49.360186, 4.611205, 0.000000, 165
-59.574077, 0.350254, -49.574249, 0.291599, 0.000000, 170
-59.377906, -4.843302, -49.411019, -4.030185, 0.000000, 175
-58.729834, -9.999997, -48.871742, -8.321298, 0.011516, 180
-57.565612, -15.074534, -47.891841, -12.541124, 2.313419, 185
-55.827557, -19.998167, -46.413385, -16.625725, 4.607879, 190
-53.536770, -24.697893, -44.456509, -20.508757, 6.887630, 195
-50.723689, -29.103687, -42.050100, -24.126854, 9.145687, 200
-47.427674, -33.149663, -39.231425, -27.420658, 11.375463, 205
-43.696467, -36.775168, -36.045557, -30.335946, 13.570878, 210
-39.585509, -39.925813, -32.544866, -32.824451, 15.726437, 215
-35.157147, -42.554418, -28.788104, -34.844989, 17.837293, 220
-30.479723, -44.621854, -24.839465, -36.364282, 19.899282, 225
-25.626565, -46.097784, -20.767866, -37.357473, 21.908932, 230
-20.674896, -46.961273, -16.645706, -37.808917, 23.863461, 235
-15.704666, -47.201273, -12.547820, -37.712631, 25.750240, 240
-10.856028, -46.942834, -8.603041, -37.199937, 23.852626, 245
-6.224600, -46.339983, -4.893463, -36.428975, 21.897779, 250
-1.820621, -45.431669, -1.420347, -35.439684, 19.887826, 255
2.350939, -44.254846, 1.820312, -34.268934, 17.825553, 260
6.289845, -42.843842, 4.837105, -32.949927, 15.714433, 265
9.999997, -41.229834, 7.642548, -31.511685, 13.558635, 270
13.488783, -39.440403, 10.252214, -29.978658, 11.363012, 275
16.766382, -37.499191, 12.683895, -28.370483, 9.133059, 280
19.845036, -35.425661, 14.956661, -26.701912, 6.874861, 285
22.738312, -33.234965, 17.090408, -24.982621, 4.595007, 290
25.460359, -30.937907, 19.104465, -23.217635, 2.300485, 295
28.025168, -28.541022, 21.017248, -21.407366, 0.000000, 300
30.406038, -25.989861, 22.802815, -19.494401, 0.000000, 305
32.555499, -23.240901, 24.414891, -17.433104, 0.000000, 310
34.457194, -20.315063, 25.841215, -15.239149, 0.000000, 315
36.096648, -17.234616, 27.070912, -12.929261, 0.000000, 320
37.461385, -14.023003, 28.094674, -10.520900, 0.000000, 325
38.541019, -10.704666, 28.904670, -8.032441, 0.000000, 330
39.327332, -7.304861, 29.494723, -5.482829, 0.000000, 335
39.814340, -3.849461, 29.860338, -2.891419, 0.000000, 340
39.998337, -0.364764, 29.998714, -0.277936, 0.000000, 345
39.877922, 3.122708, 29.908783, 2.337681, 0.000000, 350
39.454013, 6.586415, 29.591229, 4.935508, 0.000000, 355
38.729835, 9.999996, 29.048468, 7.495772, 0.000000, 360
